작품명,방송일자,시청률,방영연도,월,일,회차,연속방송
갯마을 차차차,2021-08-28,6.821,2021,8,28,1,1
갯마을 차차차,2021-08-29,6.666,2021,8,29,2,1
갯마을 차차차,2021-09-04,8.733,2021,9,4,3,1
갯마을 차차차,2021-09-05,8.742,2021,9,5,4,1
갯마을 차차차,2021-09-11,9.996,2021,9,11,5,1
갯마을 차차차,2021-09-12,10.27,2021,9,12,6,1
갯마을 차차차,2021-09-18,9.102,2021,9,18,7,1
갯마을 차차차,2021-09-19,8.145,2021,9,19,8,1
갯마을 차차차,2021-09-25,9.067,2021,9,25,9,1
갯마을 차차차,2021-09-26,11.397,2021,9,26,10,1
갯마을 차차차,2021-10-02,9.299,2021,10,2,11,1
갯마을 차차차,2021-10-03,10.723,2021,10,3,12,1
갯마을 차차차,2021-10-09,9.171,2021,10,9,13,1
갯마을 차차차,2021-10-10,11.643,2021,10,10,14,1
갯마을 차차차,2021-10-16,10.347,2021,10,16,15,1
갯마을 차차차,2021-10-17,12.665,2021,10,17,16,1
거짓말의 거짓말,2020-09-04,1.169,2020,9,4,1,1
거짓말의 거짓말,2020-09-05,2.608,2020,9,5,2,1
거짓말의 거짓말,2020-09-11,2.577,2020,9,11,3,1
거짓말의 거짓말,2020-09-12,4.276,2020,9,12,4,1
거짓말의 거짓말,2020-09-18,2.895,2020,9,18,5,1
거짓말의 거짓말,2020-09-19,4.21,2020,9,19,6,1
거짓말의 거짓말,2020-09-25,2.71,2020,9,25,7,1
거짓말의 거짓말,2020-09-26,4.542,2020,9,26,8,1
거짓말의 거짓말,2020-10-02,3.332,2020,10,2,9,1
거짓말의 거짓말,2020-10-03,4.165,2020,10,3,10,1
거짓말의 거짓말,2020-10-09,5.16,2020,10,9,11,1
거짓말의 거짓말,2020-10-10,5.847,2020,10,10,12,1
거짓말의 거짓말,2020-10-16,5.604,2020,10,16,13,1
거짓말의 거짓말,2020-10-17,5.828,2020,10,17,14,1
거짓말의 거짓말,2020-10-23,6.393,2020,10,23,15,1
거짓말의 거짓말,2020-10-24,8.203,2020,10,24,16,1
검법남녀 2,2019-06-03,4.7,2019,6,3,1,2
검법남녀 2,2019-06-04,5.35,2019,6,4,2,2
검법남녀 2,2019-06-10,5.15,2019,6,10,3,2
검법남녀 2,2019-06-11,5.15,2019,6,11,4,2
검법남녀 2,2019-06-17,6.7,2019,6,17,5,2
검법남녀 2,2019-06-18,6.9,2019,6,18,6,2
검법남녀 2,2019-06-24,7.75,2019,6,24,7,2
검법남녀 2,2019-06-25,7.2,2019,6,25,8,2
검법남녀 2,2019-07-01,7.2,2019,7,1,9,2
검법남녀 2,2019-07-02,7.35,2019,7,2,10,2
검법남녀 2,2019-07-08,7.2,2019,7,8,11,2
검법남녀 2,2019-07-09,8.05,2019,7,9,12,2
검법남녀 2,2019-07-15,7.1499999999999995,2019,7,15,13,2
검법남녀 2,2019-07-16,8.0,2019,7,16,14,2
검법남녀 2,2019-07-23,8.3,2019,7,23,15,2
검법남녀 2,2019-07-29,8.3,2019,7,29,16,2
검사내전,2019-12-16,5.042,2019,12,16,1,1
검사내전,2019-12-17,4.996,2019,12,17,2,1
검사내전,2019-12-23,4.685,2019,12,23,3,1
검사내전,2019-12-24,4.238,2019,12,24,4,1
검사내전,2020-01-06,3.588,2020,1,6,5,1
검사내전,2020-01-07,3.81,2020,1,7,6,1
검사내전,2020-01-13,3.203,2020,1,13,7,1
검사내전,2020-01-14,3.836,2020,1,14,8,1
검사내전,2020-01-20,3.214,2020,1,20,9,1
검사내전,2020-01-21,3.684,2020,1,21,10,1
검사내전,2020-01-27,2.73,2020,1,27,11,1
검사내전,2020-01-28,3.479,2020,1,28,12,1
검사내전,2020-02-03,2.981,2020,2,3,13,1
검사내전,2020-02-04,4.004,2020,2,4,14,1
검사내전,2020-02-10,3.289,2020,2,10,15,1
검사내전,2020-02-11,4.208,2020,2,11,16,1
검색어를 입력하세요 WWW,2019-06-05,2.431,2019,6,5,1,1
검색어를 입력하세요 WWW,2019-06-06,3.19,2019,6,6,2,1
검색어를 입력하세요 WWW,2019-06-12,3.221,2019,6,12,3,1
검색어를 입력하세요 WWW,2019-06-13,3.25,2019,6,13,4,1
검색어를 입력하세요 WWW,2019-06-19,3.109,2019,6,19,5,1
검색어를 입력하세요 WWW,2019-06-20,3.578,2019,6,20,6,1
검색어를 입력하세요 WWW,2019-06-26,3.363,2019,6,26,7,1
검색어를 입력하세요 WWW,2019-06-27,3.32,2019,6,27,8,1
검색어를 입력하세요 WWW,2019-07-03,3.652,2019,7,3,9,1
검색어를 입력하세요 WWW,2019-07-04,3.165,2019,7,4,10,1
검색어를 입력하세요 WWW,2019-07-10,4.003,2019,7,10,11,1
검색어를 입력하세요 WWW,2019-07-11,3.488,2019,7,11,12,1
검색어를 입력하세요 WWW,2019-07-17,3.906,2019,7,17,13,1
검색어를 입력하세요 WWW,2019-07-18,3.567,2019,7,18,14,1
검색어를 입력하세요 WWW,2019-07-24,4.089,2019,7,24,15,1
검색어를 입력하세요 WWW,2019-07-25,4.199,2019,7,25,16,1
검은 태양,2021-09-17,7.2,2021,9,17,1,1
검은 태양,2021-09-18,8.0,2021,9,18,2,1
검은 태양,2021-09-24,9.8,2021,9,24,3,1
검은 태양,2021-09-25,8.3,2021,9,25,4,1
검은 태양,2021-10-01,9.4,2021,10,1,5,1
검은 태양,2021-10-02,8.6,2021,10,2,6,1
검은 태양,2021-10-08,8.4,2021,10,8,7,1
검은 태양,2021-10-09,7.8,2021,10,9,8,1
검은 태양,2021-10-15,8.3,2021,10,15,9,1
검은 태양,2021-10-16,7.6,2021,10,16,10,1
검은 태양,2021-10-22,7.4,2021,10,22,11,1
검은 태양,2021-10-23,8.8,2021,10,23,12,1
결혼작사 이혼작곡,2021-01-23,6.286,2021,1,23,1,2
결혼작사 이혼작곡,2021-01-24,6.508,2021,1,24,2,2
결혼작사 이혼작곡,2021-01-30,8.078,2021,1,30,3,2
결혼작사 이혼작곡,2021-01-31,6.999499999999999,2021,1,31,4,2
결혼작사 이혼작곡,2021-02-06,8.465499999999999,2021,2,6,5,2
결혼작사 이혼작곡,2021-02-07,6.9935,2021,2,7,6,2
결혼작사 이혼작곡,2021-02-13,7.7775,2021,2,13,7,2
결혼작사 이혼작곡,2021-02-14,8.913499999999999,2021,2,14,8,2
결혼작사 이혼작곡,2021-02-20,7.6165,2021,2,20,9,2
결혼작사 이혼작곡,2021-02-21,8.333,2021,2,21,10,2
결혼작사 이혼작곡,2021-02-27,7.609,2021,2,27,11,2
결혼작사 이혼작곡,2021-02-28,8.1465,2021,2,28,12,2
결혼작사 이혼작곡,2021-03-06,7.402,2021,3,6,13,2
결혼작사 이혼작곡,2021-03-07,7.9505,2021,3,7,14,2
결혼작사 이혼작곡,2021-03-13,7.071,2021,3,13,15,2
결혼작사 이혼작곡,2021-03-14,7.9405,2021,3,14,16,2
결혼작사 이혼작곡 2,2021-06-12,4.5649999999999995,2021,6,12,1,2
