작품명,장르,방송 채널,방송 기간,방송 시간,방송 분량,방송 횟수,기획,책임프로듀서,프로듀서,제작사,연출,각본,출연자,이전,다음
선배 그 립스틱 바르지 마요,드라마,JTBC,2021년 1월 18일 ~ 2021년 3월 9일,매주 월요일 ~ 화요일 밤 9:00 ~ 10:10,70분,16부작,,,,,,,"원진아, 로운, 이현욱, 이주빈, 이규한",18 어게인 (2020년 9월 21일 ~ 2020년 11월 10일),아이돌: 더 쿠데타 (2021년 11월 8일 ~ 2021년 12월 14일)
루카: 더 비기닝,"범죄, 미스터리, 서스펜스",tvN,2021년 2월 1일 ~ 2021년 3월 9일,매주 월요일 ~ 화요일 오후 9시 ~ 10시10분,70분,12부작,"스튜디오드래곤, tvN",김륜희,"정민채, 김홍선, 박종학","스튜디오드래곤, 테이크원컴퍼니, 에이치하우스",김홍선,,"김래원, 이다희, 김성오 외",낮과 밤 (2020년 11월 30일 ~ 2021년 1월 19일),나빌레라 (2021년 3월 22일 ~ 2021년 4월 27일)
안녕? 나야!,"판타지, 로코, 성장, 드라마",KBS 2TV,2021년 2월 17일 ~ 2021년 4월 8일,"매주 수요일, 목요일 밤 9:30 ~ 10:40","70분 (1회당 1부 40분, 2부 30분 분할방송)",16부작,문준하 (KBS 드라마본부),김상휘 (KBS 드라마운영팀),,"비욘드제이[1], 에이스메이커무비웍스","이현석, 나수지",,"최강희, 김영광, 이레, 음문석 외",바람피면 죽는다 (2020년 12월 2일 ~ 2021년 1월 28일),대박부동산 (2021년 4월 14일 ~ 2021년 6월 9일)
시지프스 : the myth,"SF, 판타지, 미스터리, 로맨스",JTBC,2021년 2월 17일 ~ 2021년 4월 8일,"매주 수요일, 목요일 오후 9시",70분,16부작,,정승순,,"드라마하우스, JTBC 스튜디오","진혁, 김승호","이제인, 전찬호","조승우, 박신혜, 김병철 외",런 온 (2020년 12월 16일 ~ 2021년 2월 4일),로스쿨 (2021년 4월 14일 ~ 2021년 6월 9일)
마우스,"범죄, 스릴러, 서스펜스 추리",tvN,2021년 3월 3일 ~ 2021년 5월 19일,"매주 수요일, 목요일 밤 10시 30분 ~ 11시 40분",70분,20부작 + 스폐셜 1부작,tvN 최진희,,,"HIGROUND, 스튜디오 인빅투스","최준배, 성치욱",최란,"이승기, 이희준, 박주현, 경수진 등",여신강림 (2020년 12월 9일 ~ 2021년 2월 4일),간 떨어지는 동거 (2021년 5월 26일 ~ 2021년 7월 15일)
나빌레라,"코미디, 휴머니즘",tvN,2021년 3월 22일 ~ 2021년 4월 27일,"매주 월요일, 화요일 밤 9시 ~",70분,12부작,"tvN, 스튜디오드래곤",,,"스튜디오드래곤, 더그레이트쇼",한동화,,"박인환, 송강 외",루카 (2021년 2월 1일 ~ 2021년 3월 9일),어느 날 우리집 현관으로 멸망이 들어왔다 (2021년 5월 10일 ~ 2021년 6월 29일)
달이 뜨는 강,"사극, 로맨스",KBS 2TV,2021년 2월 15일 ~ 2021년 4월 20일,"매주 월요일, 화요일 밤 9:30 ~ 10:40","70분 (1회당 1부 40분, 2부 30분 분할방송)",20부작,김상휘 (KBS 드라마본부),"강병택, 김영조 (KBS 드라마운영팀)",백승민,빅토리콘텐츠,윤상호,한지훈,"김소현, 나인우, 이지훈, 최유화 외",암행어사: 조선비밀수사단 (2020년 12월 21일 ~ 2021년 2월 9일),오월의 청춘 (2021년 5월 3일 ~ 2021년 6월 8일)
오! 주인님,"로맨스, 멜로",MBC,2021년 3월 24일 ~ 2021년 5월 13일,매주 수요일 ~ 목요일 오후 9시 20분 ~ 오후 10시 30분,1시간 10분,16부작,김호영,,,주식회사 넘버쓰리픽쳐스,오다영,,"이민기, 나나, 강민혁 외",나를 사랑한 스파이 (2020년 10월 21일 ~ 2020년 12월 17일),미치지 않고서야 (2021년 6월 23일 ~ 2021년 8월 26일)
간 떨어지는 동거,로맨틱 코미디,tvN,2021년 5월 26일 ~ 2021년 7월 15일,,,16부작,"스튜디오드래곤, iQIYI",장정도,,"드라마하우스, 콘텐츠지음","남성우, 이영옥","백선우, 최보림","장기용, 이혜리, 강한나, 김도완, 배인혁 외",마우스 (2021년 3월 3일 ~ 2021년 5월 19일),더 로드: 1의 비극 (2021년 8월 4일 ~ 2021년 9월 9일)
라켓소년단,스포츠 드라마,SBS TV,2021년 5월 31일 ~ 2021년 8월 9일,"매주 월, 화 밤 10시 ~ 11시 10분",70분,16부작,조성훈 (스튜디오 S),박영수 (SBS 드라마운영팀),"양정현, 이주호",팬엔터테인먼트,"조영광, 안종연",정보훈,"김상경, 오나라, 탕준상, 손상연, 최현욱, 김강훈, 이재인, 이지원, 김민기 외",조선구마사 (2021년 3월 22일 ~ 2021년 3월 23일),홍천기 (2021년 8월 30일 ~ 2021년 10월 26일)
오월의 청춘,"시대극, 멜로, 휴머니즘",KBS 2TV,2021년 5월 3일 ~ 2021년 6월 8일,"매주 월요일, 화요일 밤 9:30 ~ 10:40","70분 (1회당 1부 40분, 2부 30분 분할 방송)",12부작,기민수 (KBS 드라마본부),윤재혁 (KBS 드라마운영팀),,이야기사냥꾼,"송민엽, 이대경",이강,"이도현, 고민시, 이상이, 금새록 외",달이 뜨는 강 (2021년 2월 15일 ~ 2021년 4월 20일),멀리서 보면 푸른 봄 (2021년 6월 14일 ~ 2021년 7월 20일)
대박부동산,"코믹, 스릴러, 판타지, 엑소시즘",KBS 2TV,2021년 4월 14일 ~ 2021년 6월 9일,"매주 수요일, 목요일 밤 9:30 ~ 10:40","70분 (1회당 1부 40분, 2부 30분 분할방송)",16부작 + 스페셜 1부작,김상휘 (KBS 드라마본부),"기민수, 노상훈 (KBS 드라마운영팀)",,"몬스터유니온, 메이퀸픽쳐스","박진석, 이웅희",,"장나라, 정용화 외",안녕? 나야! (2021년 2월 17일 ~ 2021년 4월 8일),달리와 감자탕 (2021년 9월 22일 ~ 2021년 11월 11일)
로스쿨,"법정, 범죄, 휴먼, 코미디",JTBC,2021년 4월 14일 ~ 2021년 6월 9일,"매주 수요일, 목요일 밤 9시 ~ 10시 30분",70분,16부작,,,,"JTBC스튜디오, 스튜디오 피닉스, 공감동하우스","김석윤, 고혜진",서인,"김명민, 김범, 류혜영, 이정은외",시지프스 : the myth (2021년 2월 17일 ~ 2021년 4월 8일),월간 집 (2021년 6월 16일 ~ 2021년 8월 5일)
